datetime,y
12/5/2011,9.62
12/6/2011,9.77
12/7/2011,9.7
12/8/2011,9.65
12/9/2011,9.45
12/12/2011,9.36
12/13/2011,9.19
12/14/2011,9.1
12/15/2011,8.74
12/16/2011,9.1
12/19/2011,9.48
12/20/2011,9.23
12/21/2011,8.83
12/22/2011,9.15
12/23/2011,9.27
12/26/2011,9.07
12/27/2011,8.8
12/28/2011,9.07
12/29/2011,9.16
12/30/2011,9.06
1/4/2012,8.62
1/5/2012,8.2
1/6/2012,8.27
1/9/2012,8.7
1/10/2012,9.57
1/11/2012,9.77
1/12/2012,9.76
1/13/2012,9.31
1/16/2012,9
1/17/2012,9.9
1/18/2012,9.75
1/19/2012,10.12
1/20/2012,10.13
1/30/2012,9.88
1/31/2012,9.88
2/1/2012,9.62
2/2/2012,10.01
2/3/2012,10.26
2/6/2012,10.56
2/7/2012,10.28
2/8/2012,10.62
2/9/2012,10.72
2/10/2012,10.6
2/13/2012,10.92
2/14/2012,10.86
2/15/2012,11.02
2/16/2012,10.92
2/17/2012,10.77
2/20/2012,10.93
2/21/2012,10.94
2/22/2012,11.09
2/23/2012,11.01
2/24/2012,11.37
2/27/2012,11.27
2/28/2012,11.07
2/29/2012,10.86
3/1/2012,10.91
3/2/2012,11.14
3/5/2012,11.13
3/6/2012,10.77
3/7/2012,10.61
3/8/2012,10.71
3/9/2012,11.14
3/12/2012,11.13
3/13/2012,11.4
3/14/2012,10.65
3/15/2012,10.22
3/16/2012,10.47
3/19/2012,10.5
3/20/2012,10.29
3/21/2012,10.4
3/22/2012,10.28
3/23/2012,9.87
3/26/2012,9.64
3/27/2012,9.65
3/28/2012,9.14
3/29/2012,8.84
3/30/2012,8.96
4/5/2012,9.36
4/6/2012,9.39
4/9/2012,8.86
4/10/2012,9.05
4/11/2012,9.08
4/12/2012,9.39
4/13/2012,9.61
4/16/2012,9.51
4/18/2012,9.75
4/19/2012,9.82
4/20/2012,9.8
4/23/2012,9.43
4/24/2012,9.29
4/25/2012,9.57
4/26/2012,9.8
4/27/2012,9.7
5/2/2012,9.97
5/3/2012,9.86
5/4/2012,9.85
5/7/2012,9.95
5/8/2012,9.87
5/9/2012,9.44
5/10/2012,9.36
5/11/2012,9.29
5/14/2012,9.19
5/15/2012,9.14
5/16/2012,8.98
5/17/2012,9.13
5/18/2012,8.89
5/21/2012,8.97
5/22/2012,9.18
5/23/2012,9.2
5/24/2012,9.44
5/25/2012,9.11
5/28/2012,9.43
5/29/2012,10.01
5/30/2012,9.93
5/31/2012,9.86
6/1/2012,9.7
6/4/2012,9.23
6/5/2012,9.25
6/6/2012,9.17
6/7/2012,9.09
6/8/2012,9.09
6/11/2012,9.34
6/12/2012,9.19
6/13/2012,9.3
6/14/2012,9.55
6/15/2012,9.58
6/18/2012,9.68
6/19/2012,9.47
6/20/2012,9.53
6/21/2012,9.22
6/25/2012,9.01
6/26/2012,9.14
6/27/2012,8.98
6/28/2012,8.84
6/29/2012,9
7/2/2012,9
7/20/2012,8.49
7/23/2012,8.36
7/24/2012,8.48
7/25/2012,8.31
7/26/2012,8.2
7/27/2012,8.26
7/30/2012,8.22
7/31/2012,8.1
8/1/2012,8.22
8/2/2012,8.14
8/3/2012,8.24
8/6/2012,8.37
8/7/2012,8.4
8/8/2012,8.35
8/9/2012,8.46
8/10/2012,8.38
8/13/2012,8.2
8/14/2012,8.23
8/15/2012,8.22
8/16/2012,8.31
8/17/2012,8.23
8/20/2012,8.05
8/21/2012,7.92
8/22/2012,8.03
8/23/2012,8.03
8/24/2012,7.84
8/27/2012,7.51
8/28/2012,7.51
8/29/2012,7.44
8/30/2012,7.17
8/31/2012,7.19
9/3/2012,7.35
9/4/2012,7.12
9/5/2012,7.04
9/6/2012,7.13
9/7/2012,7.57
9/10/2012,7.58
9/11/2012,7.5
9/12/2012,7.66
9/13/2012,7.54
9/14/2012,7.69
9/17/2012,7.38
9/18/2012,7.45
9/19/2012,7.44
9/20/2012,7.04
9/21/2012,6.89
9/24/2012,6.9
9/25/2012,6.82
9/26/2012,6.67
9/27/2012,6.96
9/28/2012,7.09
10/8/2012,7.06
10/9/2012,7.2
10/10/2012,7.27
10/11/2012,7.08
10/12/2012,7.1
10/15/2012,7.11
10/16/2012,7.12
10/17/2012,7.17
10/18/2012,7.27
10/19/2012,7.43
10/22/2012,7.39
10/23/2012,7.25
10/24/2012,7.29
10/25/2012,7.39
10/26/2012,7.14
10/29/2012,6.95
10/30/2012,7.04
10/31/2012,7.08
11/1/2012,7.26
11/2/2012,7.33
11/5/2012,7.33
11/6/2012,7.31
11/7/2012,7.48
11/8/2012,7.17
11/9/2012,7.16
11/12/2012,7.18
11/13/2012,6.97
11/14/2012,7.04
11/15/2012,6.88
11/16/2012,6.87
11/19/2012,6.95
11/20/2012,7.04
11/21/2012,7.14
11/22/2012,7.03
11/23/2012,7.05
11/26/2012,7
11/27/2012,6.84
11/28/2012,6.75
11/29/2012,6.57
11/30/2012,6.82
12/3/2012,6.65
12/4/2012,6.76
12/5/2012,7.12
12/6/2012,7.09
12/7/2012,7.38
12/10/2012,7.45
12/11/2012,7.36
12/12/2012,7.29
12/13/2012,7.28
12/14/2012,7.72
12/17/2012,7.71
12/18/2012,7.81
12/19/2012,7.81
12/20/2012,7.85
12/21/2012,7.9
12/24/2012,7.73
12/25/2012,7.82
12/26/2012,8.07
12/27/2012,8.08
12/28/2012,8.12
12/31/2012,8.25
1/4/2013,8.2
1/7/2013,8.17
1/8/2013,8.45
1/9/2013,8.43
1/10/2013,8.88
1/11/2013,8.58
1/14/2013,8.82
1/15/2013,9.19
1/16/2013,9.05
1/17/2013,8.8
1/18/2013,8.9
1/21/2013,8.78
1/22/2013,8.79
1/23/2013,8.8
1/24/2013,8.5
1/25/2013,8.23
1/28/2013,8.54
1/29/2013,8.69
1/30/2013,8.65
1/31/2013,8.66
2/1/2013,8.77
2/4/2013,8.76
2/5/2013,8.82
2/6/2013,8.65
2/7/2013,8.52
2/8/2013,8.51
2/18/2013,8.83
2/19/2013,9.02
2/20/2013,9.02
2/21/2013,8.77
2/22/2013,8.48
2/25/2013,8.53
2/26/2013,8.3
2/27/2013,8.3
2/28/2013,8.63
3/1/2013,8.62
3/4/2013,8.15
3/5/2013,8.19
3/6/2013,8.21
3/7/2013,8.14
3/8/2013,8.02
3/11/2013,7.91
3/12/2013,7.82
3/13/2013,7.73
3/14/2013,7.59
3/15/2013,7.53
3/18/2013,7.1
3/19/2013,7.19
3/20/2013,7.47
3/21/2013,7.4
3/22/2013,7.35
3/25/2013,7.4
3/26/2013,7.28
3/27/2013,7.6
3/28/2013,7.46
3/29/2013,7.5
4/1/2013,7.5
4/2/2013,7.34
4/3/2013,7.26
4/8/2013,7.27
4/9/2013,7.46
4/10/2013,7.6
